asset_id,rows,mean_row_delta_pct,weighted_primary_contribution_pct,abs_weighted_contribution_pct,abs_contribution_share,ticker,sector,candidate_vs_asset_reference_mean_row_delta_pct,mean_asset_vol_20d_pct,change_from_full_pct,leave_one_out_primary_delta_pct
102,1559,0.011000510581665885,2.24374385842137e-05,2.24374385842137e-05,0.0019637476277477896,CB,Financials,0.004713360917656909,1.3484817289358313,-3.572387213219699e-06,0.009194553798531735
95,1556,0.011034127477412085,2.240904485749523e-05,2.240904485749523e-05,0.001961262579676146,CNP,Utilities,0.00443756260692664,1.3059029621671305,-3.6457457090365217e-06,0.009194480440035919
335,1557,0.010981048276672973,2.22700309653391e-05,2.22700309653391e-05,0.001949095941317628,NI,Utilities,0.00012661456071798408,1.24614234802023,-3.1933042582936875e-06,0.00919493288148666
42,1582,0.010651673593791128,2.2263055858203808e-05,2.2263055858203808e-05,0.001948485472790269,APTV,Consumer Discretionary,0.0011449307461979415,2.368054647920727,-3.1410853813823025e-06,0.009194985100363573
474,1557,0.010903868278713702,2.2238126819751775e-05,2.2238126819751775e-05,0.001946303657787702,VICI,Real Estate,0.006989761352945851,1.4002716614535873,-3.3570926097348788e-06,0.00919476909313522
500,1557,0.01086543161768337,2.2165638709053825e-05,2.2165638709053825e-05,0.0019399594240246214,YUM,Consumer Discretionary,-0.0002449904315222933,1.2351935202012323,-3.423189390106357e-06,0.009194702996354848
287,1556,-0.01076087775566135,-2.2107073149630796e-05,2.2107073149630796e-05,0.0019348337062225184,LLY,Health Care,-0.008192776840576375,1.8964159563587955,4.104767627657956e-05,0.009239173862021534
258,1556,0.010594367267764908,2.206252509183085e-05,2.206252509183085e-05,0.0019309348145332074,IVZ,Financials,0.006387957280338317,2.3171274524558423,-3.5417353065305415e-06,0.009194584450438425
490,1557,-0.010979911123587635,-2.2032375967888524e-05,2.2032375967888524e-05,0.0019282961322968995,WST,Health Care,-0.008052724898273496,2.082848254339921,4.087382623693645e-05,0.009239000011981892
18,1557,0.01086671430633866,2.1979339756859915e-05,2.1979339756859915e-05,0.001923654348734963,LNT,Utilities,0.0005282434919950019,1.1998545436703376,-2.980295871544614e-06,0.009195145889873411
215,1557,0.010681424620875029,2.1826512638334215e-05,2.1826512638334215e-05,0.0019102787626432633,GD,Industrials,0.0007828826788189605,1.2704339787244898,-2.860885239992182e-06,0.009195265300504962
46,1580,0.010711789579581259,2.1661055914477155e-05,2.1661055914477155e-05,0.0018957978205450942,ANET,Information Technology,-0.004232969506191472,2.6342135346999513,-2.5433100751905253e-06,0.009195582875669765
66,1557,0.010465953464648424,2.1440582876828016e-05,2.1440582876828016e-05,0.001876501794261129,BX,Financials,0.009900936712032767,2.1726389090095024,-2.2966485634799766e-06,0.009195829537181475
150,1557,-0.010261170204373109,-2.0890022978745275e-05,2.0890022978745275e-05,0.0018283162275470335,DG,Consumer Staples,-0.006503074637361955,1.8485290761300053,3.975919753978569e-05,0.00923788538328474
144,1563,0.010391470991001156,2.08608750432004e-05,2.08608750432004e-05,0.0018257651703456885,DELL,Information Technology,0.00300982781406462,2.662217561858282,-2.018174713660911e-06,0.009196108011031294
192,1556,-0.010147943372010184,-2.0555366212664654e-05,2.0555366212664654e-05,0.00179902672428961,FDX,Industrials,-0.010319617585224964,1.8920217048859924,3.9152535001158e-05,0.009237278720746114
26,1556,0.010111486320738524,2.0537717633004965e-05,2.0537717633004965e-05,0.0017974821025044739,AEP,Utilities,-0.000795540462524713,1.2110625694176478,-2.0634990524671706e-06,0.009196062686692487
